condition_signature,rule_ids,conclusions,priorities
"{""属性1"": ""True"", ""特征0"": ""True"", ""特征1"": ""True""}","[121, 130]","[""熊变种1"", ""狼变种0""]","{""121"": 3, ""130"": 3}"
"{""属性2"": ""True"", ""特征0"": ""True"", ""特征2"": ""True""}","[122, 140]","[""熊变种2"", ""豹变种0""]","{""122"": 3, ""140"": 3}"
"{""属性3"": ""True"", ""特征0"": ""True"", ""特征3"": ""True""}","[123, 150]","[""熊变种3"", ""鹿变种0""]","{""123"": 3, ""150"": 3}"
"{""属性4"": ""True"", ""特征0"": ""True"", ""特征4"": ""True""}","[124, 160]","[""熊变种4"", ""象变种0""]","{""124"": 3, ""160"": 3}"
"{""属性5"": ""True"", ""特征0"": ""True"", ""特征5"": ""True""}","[125, 170]","[""熊变种5"", ""鹰变种0""]","{""125"": 3, ""170"": 3}"
"{""属性6"": ""True"", ""特征0"": ""True"", ""特征6"": ""True""}","[126, 180]","[""熊变种6"", ""蛇变种0""]","{""126"": 3, ""180"": 3}"
"{""属性7"": ""True"", ""特征0"": ""True"", ""特征7"": ""True""}","[127, 190]","[""熊变种7"", ""鱼变种0""]","{""127"": 3, ""190"": 3}"
"{""属性8"": ""True"", ""特征0"": ""True"", ""特征8"": ""True""}","[128, 200]","[""熊变种8"", ""鸟变种0""]","{""128"": 3, ""200"": 3}"
"{""属性9"": ""True"", ""特征0"": ""True"", ""特征9"": ""True""}","[129, 210]","[""熊变种9"", ""虫变种0""]","{""129"": 3, ""210"": 3}"
"{""属性3"": ""True"", ""特征1"": ""True"", ""特征2"": ""True""}","[132, 141]","[""狼变种2"", ""豹变种1""]","{""132"": 3, ""141"": 3}"
"{""属性4"": ""True"", ""特征1"": ""True"", ""特征3"": ""True""}","[133, 151]","[""狼变种3"", ""鹿变种1""]","{""133"": 3, ""151"": 3}"
"{""属性5"": ""True"", ""特征1"": ""True"", ""特征4"": ""True""}","[134, 161]","[""狼变种4"", ""象变种1""]","{""134"": 3, ""161"": 3}"
"{""属性6"": ""True"", ""特征1"": ""True"", ""特征5"": ""True""}","[135, 171]","[""狼变种5"", ""鹰变种1""]","{""135"": 3, ""171"": 3}"
"{""属性7"": ""True"", ""特征1"": ""True"", ""特征6"": ""True""}","[136, 181]","[""狼变种6"", ""蛇变种1""]","{""136"": 3, ""181"": 3}"
"{""属性8"": ""True"", ""特征1"": ""True"", ""特征7"": ""True""}","[137, 191]","[""狼变种7"", ""鱼变种1""]","{""137"": 3, ""191"": 3}"
"{""属性9"": ""True"", ""特征1"": ""True"", ""特征8"": ""True""}","[138, 201]","[""狼变种8"", ""鸟变种1""]","{""138"": 3, ""201"": 3}"
"{""属性10"": ""True"", ""特征1"": ""True"", ""特征9"": ""True""}","[139, 211]","[""狼变种9"", ""虫变种1""]","{""139"": 3, ""211"": 3}"
"{""属性5"": ""True"", ""特征2"": ""True"", ""特征3"": ""True""}","[143, 152]","[""豹变种3"", ""鹿变种2""]","{""143"": 3, ""152"": 3}"
"{""属性6"": ""True"", ""特征2"": ""True"", ""特征4"": ""True""}","[144, 162]","[""象变种2"", ""豹变种4""]","{""144"": 3, ""162"": 3}"
"{""属性7"": ""True"", ""特征2"": ""True"", ""特征5"": ""True""}","[145, 172]","[""豹变种5"", ""鹰变种2""]","{""145"": 3, ""172"": 3}"
"{""属性8"": ""True"", ""特征2"": ""True"", ""特征6"": ""True""}","[146, 182]","[""蛇变种2"", ""豹变种6""]","{""146"": 3, ""182"": 3}"
"{""属性9"": ""True"", ""特征2"": ""True"", ""特征7"": ""True""}","[147, 192]","[""豹变种7"", ""鱼变种2""]","{""147"": 3, ""192"": 3}"
"{""属性10"": ""True"", ""特征2"": ""True"", ""特征8"": ""True""}","[148, 202]","[""豹变种8"", ""鸟变种2""]","{""148"": 3, ""202"": 3}"
"{""属性11"": ""True"", ""特征2"": ""True"", ""特征9"": ""True""}","[149, 212]","[""虫变种2"", ""豹变种9""]","{""149"": 3, ""212"": 3}"
"{""属性7"": ""True"", ""特征3"": ""True"", ""特征4"": ""True""}","[154, 163]","[""象变种3"", ""鹿变种4""]","{""154"": 3, ""163"": 3}"
"{""属性8"": ""True"", ""特征3"": ""True"", ""特征5"": ""True""}","[155, 173]","[""鹰变种3"", ""鹿变种5""]","{""155"": 3, ""173"": 3}"
"{""属性9"": ""True"", ""特征3"": ""True"", ""特征6"": ""True""}","[156, 183]","[""蛇变种3"", ""鹿变种6""]","{""156"": 3, ""183"": 3}"
"{""属性10"": ""True"", ""特征3"": ""True"", ""特征7"": ""True""}","[157, 193]","[""鱼变种3"", ""鹿变种7""]","{""157"": 3, ""193"": 3}"
"{""属性11"": ""True"", ""特征3"": ""True"", ""特征8"": ""True""}","[158, 203]","[""鸟变种3"", ""鹿变种8""]","{""158"": 3, ""203"": 3}"
"{""属性12"": ""True"", ""特征3"": ""True"", ""特征9"": ""True""}","[159, 213]","[""虫变种3"", ""鹿变种9""]","{""159"": 3, ""213"": 3}"
"{""属性9"": ""True"", ""特征4"": ""True"", ""特征5"": ""True""}","[165, 174]","[""象变种5"", ""鹰变种4""]","{""165"": 3, ""174"": 3}"
"{""属性10"": ""True"", ""特征4"": ""True"", ""特征6"": ""True""}","[166, 184]","[""蛇变种4"", ""象变种6""]","{""166"": 3, ""184"": 3}"
"{""属性11"": ""True"", ""特征4"": ""True"", ""特征7"": ""True""}","[167, 194]","[""象变种7"", ""鱼变种4""]","{""167"": 3, ""194"": 3}"
"{""属性12"": ""True"", ""特征4"": ""True"", ""特征8"": ""True""}","[168, 204]","[""象变种8"", ""鸟变种4""]","{""168"": 3, ""204"": 3}"
"{""属性13"": ""True"", ""特征4"": ""True"", ""特征9"": ""True""}","[169, 214]","[""虫变种4"", ""象变种9""]","{""169"": 3, ""214"": 3}"
"{""属性11"": ""True"", ""特征5"": ""True"", ""特征6"": ""True""}","[176, 185]","[""蛇变种5"", ""鹰变种6""]","{""176"": 3, ""185"": 3}"
"{""属性12"": ""True"", ""特征5"": ""True"", ""特征7"": ""True""}","[177, 195]","[""鱼变种5"", ""鹰变种7""]","{""177"": 3, ""195"": 3}"
"{""属性13"": ""True"", ""特征5"": ""True"", ""特征8"": ""True""}","[178, 205]","[""鸟变种5"", ""鹰变种8""]","{""178"": 3, ""205"": 3}"
"{""属性14"": ""True"", ""特征5"": ""True"", ""特征9"": ""True""}","[179, 215]","[""虫变种5"", ""鹰变种9""]","{""179"": 3, ""215"": 3}"
"{""属性13"": ""True"", ""特征6"": ""True"", ""特征7"": ""True""}","[187, 196]","[""蛇变种7"", ""鱼变种6""]","{""187"": 3, ""196"": 3}"
"{""属性14"": ""True"", ""特征6"": ""True"", ""特征8"": ""True""}","[188, 206]","[""蛇变种8"", ""鸟变种6""]","{""188"": 3, ""206"": 3}"
"{""属性15"": ""True"", ""特征6"": ""True"", ""特征9"": ""True""}","[189, 216]","[""虫变种6"", ""蛇变种9""]","{""189"": 3, ""216"": 3}"
"{""属性15"": ""True"", ""特征7"": ""True"", ""特征8"": ""True""}","[198, 207]","[""鱼变种8"", ""鸟变种7""]","{""198"": 3, ""207"": 3}"
"{""属性16"": ""True"", ""特征7"": ""True"", ""特征9"": ""True""}","[199, 217]","[""虫变种7"", ""鱼变种9""]","{""199"": 3, ""217"": 3}"
"{""属性17"": ""True"", ""特征8"": ""True"", ""特征9"": ""True""}","[209, 218]","[""虫变种8"", ""鸟变种9""]","{""209"": 3, ""218"": 3}"
